,non-zero,num-clusters,max,mean,std,compactness,E,Xmax
0,3,1,42,25.0,12.355835328567093,0.0,4.571632385253906,301.0638427734375
1,30,2,76,23.666666666666668,19.06363612279206,0.0,6.639232158660889,388.2978820800781
2,38,2,63,19.263157894736842,14.370445201553732,0.0,7.213217258453369,317.7611999511719
3,19,2,36,16.263157894736842,8.365606941602328,0.003349453174041541,2.7328336238861084,481.5625
4,13,1,39,18.615384615384617,12.288446490902068,0.0,15.789278984069824,358.4383544921875
5,224,3,176,24.433035714285715,28.20389692043857,0.08474619652603983,118.73802947998047,541.3526000976562
6,40,2,58,18.45,13.328447021314973,0.009711916888024176,4.179276943206787,370.5
7,10,2,50,17.0,12.633289357883005,0.0,2.4905145168304443,226.42857360839844
8,169,6,72,19.34319526627219,13.236603068619631,0.046943636413838176,85.73348999023438,418.9634094238281
9,4,1,26,15.75,7.562241731127087,0.0,3.1443026065826416,237.551025390625
10,43,1,132,30.976744186046513,29.95460780805783,0.013084003047006371,9.086613655090332,387.25372314453125
11,3,1,22,15.0,5.0990195135927845,0.0,1.0207526683807373,318.20513916015625
12,5,1,19,13.2,5.3814496188294845,0.0,6.16575288772583,434.23077392578125
13,29,1,109,23.137931034482758,25.265110382025515,0.0,5.089108943939209,318.9265441894531
14,7,1,27,11.714285714285714,7.004371812646435,0.0,1.7865878343582153,218.0
15,34,2,56,14.529411764705882,10.250495810440663,0.0029304022962263272,4.443394184112549,375.2252197265625
16,143,3,170,24.44055944055944,24.047337458601636,0.05205280255855031,20.12955665588379,420.6060485839844
17,6,1,34,18.5,9.656603957913983,0.0,1.5192930698394775,274.76190185546875
18,30,1,103,23.766666666666666,23.749643272174755,0.0,12.899287223815918,352.2535095214844
19,22,2,45,17.863636363636363,10.239386764953947,0.0,3.937196969985962,391.0362548828125
20,85,2,140,23.11764705882353,26.379319781046792,0.02267743214820431,10.589436531066895,301.5862121582031
21,31,2,156,30.0,30.009675858984053,0.003636670287741064,5.8728861808776855,396.9064636230469
22,3,1,15,12.333333333333334,2.0548046676563256,0.0,32.172462463378906,362.895751953125
23,78,1,162,22.602564102564102,27.12191834962711,0.017469496185721314,10.312186241149902,363.3333435058594
24,41,2,33,14.024390243902438,6.1425656230174335,0.0,68.09773254394531,480.97015380859375
25,10,2,20,11.4,4.386342439892262,0.0008321783316232578,1.4087960720062256,243.9822998046875
26,305,1,286,27.681967213114753,39.60452660085225,0.07353151069704827,117.46280670166016,443.4798583984375
27,63,2,166,25.46031746031746,30.265400328462135,0.03148115079520284,7.8700642585754395,335.5367126464844
28,6,1,14,10.833333333333334,2.91070819942883,0.0,4.599437713623047,265.1111145019531
29,40,1,52,16.675,9.623896040585644,0.0,6.229515552520752,461.9696960449219
30,86,1,308,28.441860465116278,44.95672457943041,0.03562124359597446,10.334300994873047,363.3333435058594
31,4,1,11,9.25,2.48746859276655,0.0,205.04010009765625,470.8428649902344
32,116,2,402,36.974137931034484,66.39477820230066,0.05418674031956815,9.289594650268555,403.9100341796875
33,11,1,21,13.090909090909092,5.107117056432051,0.0,2.7710840702056885,303.4920654296875
34,4,1,17,12.25,4.548351349665063,0.0,1.1445096731185913,394.34783935546875
35,4,1,13,10.5,2.29128784747792,0.0,2.2710092067718506,256.80413818359375
36,13,1,46,18.76923076923077,12.78312497097907,0.0,5.794040203094482,253.3333282470703
37,14,1,42,16.571428571428573,9.68588284724796,0.0,3.719820499420166,355.0526428222656
38,52,1,110,19.134615384615383,20.85575814802699,0.0060139289561228805,7.890868663787842,328.0419616699219
39,465,2,2085,89.68172043010753,224.4498214613444,0.2504246027363099,75.38751220703125,492.0713195800781
40,34,2,78,21.029411764705884,16.630031824308354,0.0030462728691553224,10.524304389953613,281.8840637207031
41,3,1,20,14.666666666666666,4.109609335312651,0.0,3.4511358737945557,521.3131103515625
42,24,2,215,47.125,55.4972315375581,0.006337681357259103,11.11380672454834,342.50860595703125
43,28,1,70,17.178571428571427,16.669162228131178,0.0,2.3175458908081055,543.5294189453125
44,670,4,1596,62.46716417910448,144.78186771939477,0.28533729382599826,130.56724548339844,571.352294921875
45,8,1,20,12.0,5.1478150704935,0.0,2.500722646713257,325.65216064453125
46,114,1,280,30.79824561403509,46.70064799591029,0.047053056661773604,14.88051700592041,454.0764465332031
47,69,1,145,27.26086956521739,29.781159385025962,0.016883173673383916,27.263002395629883,437.0400085449219
48,6,1,14,11.0,2.943920288775949,0.0,1.4859488010406494,298.1176452636719
49,43,1,125,21.790697674418606,22.120765935196776,0.0011164843913471802,10.355639457702637,447.2185363769531
50,174,1,961,46.810344827586206,119.39687372876617,0.05483314918262935,32.5699577331543,397.5524597167969
51,11,1,27,11.727272727272727,6.136195283885892,0.0,1.6789089441299438,384.19354248046875
52,10,2,24,12.9,5.223983154643591,0.0,10.468914031982422,420.0
53,53,2,141,19.528301886792452,21.958454574607266,0.008025625814711416,6.445398330688477,333.0392150878906
54,23,2,38,16.47826086956522,9.36631134864591,0.0,2.732308864593506,294.0
55,46,1,88,20.195652173913043,19.07607147280432,0.007267478815677899,6.3413405418396,326.8152770996094
56,13,1,60,21.846153846153847,14.732727325172004,0.0,3.011221170425415,388.0952453613281
57,86,3,129,25.023255813953487,24.337728746998277,0.03283889975329128,15.180205345153809,352.5714416503906
58,33,1,87,25.272727272727273,24.199014163832736,0.0,6.214900970458984,436.8888854980469
59,13,2,17,10.846153846153847,3.7794210758579223,0.0,3.4427356719970703,201.62791442871094
60,3,1,13,12.0,1.4142135623730951,0.0,29.371566772460938,334.1791076660156
61,67,1,365,49.46268656716418,77.514048482745,0.01574746724663261,22.115556716918945,377.29412841796875
62,68,4,114,21.294117647058822,20.839766019580573,0.015712286954861886,21.00720977783203,313.5714416503906
63,4,1,25,12.75,7.258615570478987,0.0,15.533489227294922,361.9170837402344
64,27,2,31,13.037037037037036,6.663785385596907,0.002605130246476754,17.120737075805664,418.55072021484375
65,162,2,218,32.29012345679013,40.67875990479756,0.06892593795588917,15.854924201965332,502.4590148925781
66,63,4,92,26.53968253968254,21.462278016953295,0.009996718871594326,33.27834701538086,418.79376220703125
67,3,1,12,10.666666666666666,0.9428090415820634,0.0,1.4096933603286743,343.1428527832031
68,11,1,34,19.545454545454547,8.392243565704925,0.0,5.248836517333984,275.2525329589844
69,5,1,21,15.6,4.454211490264017,0.0,1.0291212797164917,292.3999938964844
70,18,1,86,21.444444444444443,22.10636464968158,0.0,2.174812078475952,457.5268859863281
71,31,3,27,12.903225806451612,4.623605901204882,0.0,79.90708923339844,469.36395263671875
72,5,1,18,13.0,4.049691346263317,0.0,2.2466018199920654,200.8333282470703
73,3,1,11,10.666666666666666,0.4714045207910317,0.0,4.2567830085754395,698.6792602539062
74,4,1,15,12.75,1.479019945774904,0.0,14.552437782287598,838.888916015625
75,21,2,41,14.476190476190476,9.414371221039053,0.0,5.63151741027832,220.43478393554688
76,4,1,23,14.0,5.787918451395113,0.0,1.9995709657669067,324.7368469238281
77,11,2,37,15.636363636363637,10.029707938036584,0.0,2.0634331703186035,265.10205078125
78,11,1,24,14.090909090909092,5.0892854553739655,0.0,2.1298987865448,496.7272644042969
79,119,1,151,23.66386554621849,24.083634846312002,0.02732483682549767,58.17919158935547,513.2679443359375
80,51,4,82,20.352941176470587,16.80898864276546,0.010672419701840734,7.735073566436768,275.6310729980469
81,33,1,39,16.21212121212121,9.505206151646982,0.006221889693440468,5.628053665161133,578.0794677734375
82,113,4,130,23.221238938053098,22.29716221210269,0.030956893491310564,30.82077407836914,495.25714111328125
83,12,1,23,12.0,6.390096504226938,0.0,2.4919486045837402,308.03277587890625
84,11,2,23,13.454545454545455,6.065755388222646,0.0,1.4705806970596313,384.93975830078125
85,10,1,30,15.5,8.593602271457529,0.0,3.7742486000061035,298.18896484375
86,4,1,14,10.5,2.8722813232690143,0.0,38.684871673583984,465.9922790527344
87,10,1,19,12.0,4.9396356140913875,0.0,1.2763117551803589,442.8089904785156
88,29,1,64,23.79310344827586,16.791581039821253,0.004951286242691258,4.628281116485596,538.8780517578125
89,49,3,111,23.081632653061224,22.836452005326635,0.020394689640838973,6.439761161804199,310.48193359375
90,45,2,154,22.511111111111113,27.288273608698848,0.013589782840430288,6.017664909362793,355.97015380859375
91,20,2,45,19.7,12.438247464976728,0.005532577905691747,3.6288323402404785,265.4794616699219
92,103,3,137,21.601941747572816,23.941814502382844,0.033868617787665506,14.56784725189209,297.40985107421875
93,31,2,44,14.870967741935484,8.582585276664455,0.0,2.7839386463165283,575.5999755859375
94,9,1,38,19.666666666666668,10.488088481701515,0.0,2.4629173278808594,376.625
95,12,3,40,19.916666666666668,10.688454310870005,0.004110657724161397,5.813517093658447,241.1570281982422
96,12,1,36,17.166666666666668,10.048493529988574,0.0,1.6853952407836914,484.9090881347656
97,37,2,35,14.64864864864865,7.494921582324986,0.003179748940419624,115.15424346923828,365.0
98,8,1,45,16.875,12.241706376155246,0.0,1.8296287059783936,335.11627197265625
99,26,2,62,17.423076923076923,12.83676533939521,0.0,4.116876602172852,395.0
100,7,1,21,11.571428571428571,4.435478484645721,0.0,1.2624750137329102,431.51898193359375
101,6,2,32,19.333333333333332,8.41955396021006,0.0,1.608204960823059,237.79661560058594
102,13,1,54,19.46153846153846,13.624725175014524,0.0,2.433133363723755,396.45159912109375
103,63,3,106,19.58730158730159,17.79837242481843,0.01857108643465855,8.734823226928711,298.5
104,838,6,1430,71.9307875894988,161.04432447596247,0.745711449611464,255.6795196533203,510.03802490234375
105,8,1,12,9.125,2.521780125229002,0.0,1.8424326181411743,258.2608642578125
106,23,1,89,19.304347826086957,18.69767430924684,0.0,12.066900253295898,656.952392578125
107,15,1,138,30.0,35.06375146310883,0.0,5.682738304138184,249.79380798339844
108,30,2,27,13.6,5.6544967356373395,0.0,11.477892875671387,317.1428527832031
109,34,2,58,19.294117647058822,13.893564764613584,0.01064466426420842,6.35942268371582,287.6785583496094
110,8,1,26,12.0,7.0710678118654755,0.0,1.418320894241333,391.1764831542969
111,7,1,15,10.285714285714286,2.602981022612657,0.0,5.8971052169799805,658.7179565429688
112,3,1,27,16.333333333333332,7.542472332656507,0.0,1.2299691438674927,265.7377014160156
113,254,6,195,27.051181102362204,27.835734033004737,0.055312180729150014,285.796142578125,686.3433837890625
114,50,4,82,18.28,16.25427943650533,0.019971184581328603,5.5902228355407715,361.52264404296875
115,12,2,23,11.166666666666666,5.07991688470939,0.0,3.066683292388916,316.1016845703125
116,19,1,28,14.157894736842104,6.276633005334668,0.005380275868489703,2.000124931335449,507.9816589355469
117,19,2,61,20.210526315789473,15.105171464970185,0.0,3.2187466621398926,357.8504638671875
118,133,2,498,44.50375939849624,75.40882300746168,0.05870197541341506,22.340255737304688,362.55682373046875
119,125,3,246,33.576,44.29668411969456,0.029489880101457505,13.836456298828125,410.68084716796875
120,5,1,43,17.0,13.19090595827292,0.0,1.853322148323059,234.2105255126953
121,15,1,96,32.46666666666667,30.021917919339455,0.0,9.205204963684082,323.58026123046875
122,63,1,329,35.76190476190476,59.11536052787072,0.0,5.605350494384766,392.16949462890625
123,180,1,728,73.68333333333334,117.52491343446194,0.09271849760337222,20.554344177246094,730.1265869140625
124,7,1,41,19.142857142857142,11.825258335185644,0.0,2.4286880493164062,289.047607421875
125,77,2,129,28.428571428571427,27.55510586076825,0.0,16.61851692199707,315.74468994140625
126,17,1,87,22.352941176470587,20.744782976961837,0.0,4.108428478240967,231.81817626953125
127,5,1,31,17.8,10.02796090937734,0.0,2.2302358150482178,428.4905700683594
128,89,2,388,47.49438202247191,67.61342922182662,0.0,17.21323585510254,444.4044189453125
129,8,1,23,14.0,5.809475019311125,0.0,1.1530299186706543,357.8723449707031
130,41,1,125,20.878048780487806,24.047914692771,0.0,4.136153697967529,384.4444580078125
131,56,3,86,21.410714285714285,17.85834817360766,0.0,8.437975883483887,388.4375
